iter	Passed	Remaining
410	4352	6236
411	4362	6226
412	4372	6214
413	4383	6205
414	4397	6199
415	4409	6189
416	4420	6180
417	4429	6167
418	4442	6159
419	4453	6150
420	4464	6139
421	4475	6130
422	4483	6116
423	4493	6104
424	4503	6093
425	4514	6082
426	4523	6069
427	4531	6056
428	4542	6045
429	4552	6034
430	4562	6022
431	4572	6011
432	4581	5999
433	4590	5986
434	4601	5976
435	4613	5968
436	4622	5955
437	4631	5942
438	4639	5929
439	4650	5919
440	4661	5909
441	4670	5896
442	4680	5885
443	4689	5872
444	4700	5862
445	4710	5851
446	4722	5842
447	4731	5829
448	4739	5816
449	4750	5806
450	4761	5796
451	4772	5786
452	4783	5775
453	4791	5762
454	4801	5750
455	4810	5738
456	4820	5728
457	4831	5717
458	4843	5708
459	4856	5701
460	4867	5691
461	4879	5682
462	4892	5674
463	4902	5663
464	4913	5652
465	4922	5640
466	4934	5632
467	4945	5622
468	4954	5609
469	4964	5597
470	4974	5587
471	4983	5574
472	4992	5562
473	5002	5551
474	5011	5539
475	5021	5528
476	5030	5516
477	5042	5506
478	5053	5496
479	5062	5484
480	5072	5473
481	5082	5461
482	5090	5449
483	5102	5439
484	5111	5428
485	5120	5415
486	5130	5404
487	5142	5395
488	5150	5382
489	5162	5373
490	5173	5363
491	5183	5352
492	5193	5340
493	5202	5328
494	5212	5317
495	5221	5305
496	5232	5295
497	5242	5284
498	5251	5272
499	5260	5260
500	5269	5248
501	5279	5237
502	5288	5225
503	5299	5214
504	5308	5203
505	5318	5192
506	5328	5180
507	5335	5167
508	5344	5155
509	5354	5144
510	5364	5134
511	5374	5122
512	5383	5111
513	5395	5101
514	5406	5091
515	5417	5081
516	5427	5070
517	5437	5059
518	5449	5050
519	5458	5038
520	5469	5028
521	5479	5018
522	5490	5007
523	5499	4995
524	5509	4984
525	5520	4974
526	5531	4964
527	5540	4952
528	5551	4942
529	5561	4932
530	5570	4920
531	5581	4910
532	5590	4898
533	5599	4886
534	5610	4876
535	5621	4866
536	5632	4856
537	5642	4845
538	5653	4835
539	5664	4824
540	5674	4814
541	5683	4802
542	5694	4792
543	5705	4782
544	5716	4772
545	5725	4760
546	5737	4751
547	5748	4741
548	5758	4730
549	5769	4720
550	5778	4709
551	5790	4699
552	5800	4688
553	5812	4679
554	5822	4668
555	5831	4656
556	5842	4646
557	5855	4637
558	5867	4628
559	5881	4620
560	5893	4611
561	5904	4601
562	5914	4590
563	5926	4581
564	5935	4569
565	5946	4559
566	5955	4548
567	5966	4538
568	5978	4528
569	5988	4517
570	5997	4506
571	6008	4495
572	6022	4488
573	6034	4478
574	6044	4467
575	6056	4458
576	6067	4447
577	6076	4436
578	6087	4426
579	6100	4417
580	6114	4409
581	6128	4401
582	6142	4393
583	6153	4383
584	6165	4373
585	6176	4363
586	6187	4353
587	6198	4343
588	6209	4332
589	6219	4322
590	6230	4311
591	6240	4301
592	6251	4290
593	6260	4278
594	6269	4267
595	6281	4258
596	6291	4246
597	6300	4235
598	6310	4224
599	6321	4214
600	6330	4203
601	6343	4193
602	6352	4182
603	6361	4171
604	6372	4160
605	6381	4149
606	6393	4139
607	6404	4129
608	6417	4120
609	6429	4110
610	6439	4100
611	6449	4089
612	6462	4079
613	6478	4072
614	6489	4062
615	6499	4051
616	6511	4042
617	6541	4043
618	6555	4035
619	6568	4026
620	6580	4016
621	6597	4009
622	6610	4000
623	6622	3990
624	6636	3982
625	6657	3977
626	6679	3973
627	6698	3967
628	6717	3962
629	6729	3952
630	6746	3945
631	6762	3937
632	6779	3930
633	6793	3921
634	6805	3911
635	6822	3904
636	6836	3895
637	6848	3885
638	6864	3877
639	6878	3868
640	6895	3862
641	6908	3852
642	6920	3842
643	6933	3832
644	6944	3821
645	6955	3811
646	6965	3800
647	6977	3790
648	6989	3779
649	7000	3769
650	7011	3758
651	7021	3747
652	7033	3737
653	7044	3726
654	7054	3715
655	7067	3705
656	7078	3695
657	7089	3684
658	7100	3673
659	7110	3662
660	7120	3651
661	7130	3640
662	7140	3629
663	7151	3618
664	7162	3608
665	7172	3597
666	7184	3586
667	7193	3575
668	7204	3564
669	7215	3554
670	7226	3543
671	7236	3532
672	7248	3522
673	7259	3511
674	7270	3500
675	7281	3490
676	7293	3479
677	7304	3469
678	7315	3458
679	7325	3447
680	7337	3436
681	7347	3425
682	7356	3414
683	7365	3402
684	7377	3392
685	7386	3381
686	7397	3370
687	7408	3359
688	7418	3348
689	7429	3337
690	7440	3327
691	7450	3316
692	7460	3304
693	7470	3293
694	7480	3282
695	7490	3271
696	7501	3261
697	7511	3249
698	7521	3238
699	7531	3227
700	7542	3217
701	7554	3206
702	7566	3196
703	7577	3185
704	7588	3175
705	7598	3164
706	7608	3153
707	7618	3142
708	7627	3130
709	7639	3120
710	7651	3110
711	7662	3099
712	7672	3088
713	7682	3077
714	7691	3065
715	7701	3054
716	7710	3043
717	7720	3032
718	7731	3021
719	7740	3010
720	7753	3000
721	7762	2988
722	7774	2978
723	7782	2966
724	7793	2956
725	7802	2944
726	7811	2933
727	7821	2922
728	7832	2911
729	7840	2900
730	7849	2888
731	7859	2877
732	7865	2865
733	7874	2853
734	7883	2842
735	7892	2831
736	7902	2820
737	7912	2809
738	7921	2797
739	7932	2787
740	7943	2776
741	7954	2765
742	7965	2755
743	7975	2744
744	7985	2733
745	7995	2722
746	8004	2711
747	8014	2700
748	8024	2689
749	8034	2678
750	8044	2667
751	8053	2655
752	8063	2644
753	8072	2633
754	8081	2622
755	8089	2610
756	8099	2600
757	8109	2588
758	8119	2578
759	8129	2567
760	8141	2556
761	8149	2545
762	8160	2534
763	8169	2523
764	8179	2512
765	8188	2501
766	8198	2490
767	8207	2479
768	8216	2468
769	8224	2456
770	8233	2445
771	8243	2434
772	8252	2423
773	8262	2412
774	8271	2401
775	8282	2390
776	8291	2379
777	8299	2368
778	8308	2357
779	8319	2346
780	8330	2336
781	8339	2324
782	8348	2313
783	8358	2302
784	8367	2291
785	8375	2280
786	8384	2269
787	8392	2257
788	8402	2247
789	8410	2235
790	8419	2224
791	8428	2213
792	8437	2202
793	8446	2191
794	8455	2180
795	8464	2169
796	8474	2158
797	8484	2147
798	8494	2136
799	8501	2125
800	8512	2114
801	8521	2103
802	8530	2092
803	8541	2082
804	8550	2071
805	8559	2060
806	8567	2048
807	8576	2037
808	8585	2026
809	8593	2015
810	8602	2004
811	8611	1993
812	8619	1982
813	8629	1971
814	8638	1960
815	8647	1949
816	8655	1938
817	8665	1928
818	8675	1917
819	8683	1906
820	8693	1895
821	8703	1884
822	8712	1873
823	8722	1863
824	8731	1852
825	8739	1841
826	8749	1830
827	8759	1819
828	8769	1808
829	8779	1798
830	8788	1787
831	8798	1776
832	8808	1766
833	8818	1755
834	8827	1744
835	8838	1733
836	8846	1722
837	8855	1712
838	8865	1701
839	8874	1690
840	8883	1679
841	8892	1668
842	8903	1658
843	8913	1647
844	8922	1636
845	8932	1626
846	8941	1615
847	8952	1604
848	8962	1594
849	8972	1583
850	8984	1573
851	8994	1562
852	9005	1551
853	9015	1541
854	9023	1530
855	9031	1519
856	9041	1508
857	9051	1498
858	9062	1487
859	9070	1476
860	9078	1465
861	9087	1454
862	9096	1444
863	9107	1433
864	9115	1422
865	9125	1411
866	9133	1401
867	9143	1390
868	9153	1379
869	9163	1369
870	9171	1358
871	9181	1347
872	9192	1337
873	9200	1326
874	9209	1315
875	9217	1304
876	9225	1293
877	9236	1283
878	9245	1272
879	9255	1262
880	9264	1251
881	9272	1240
882	9280	1229
883	9289	1219
884	9299	1208
885	9307	1197
886	9315	1186
887	9323	1175
888	9334	1165
889	9344	1154
890	9355	1144
891	9364	1133
892	9373	1123
893	9385	1112
894	9395	1102
895	9405	1091
896	9413	1080
897	9422	1070
898	9431	1059
899	9441	1049
900	9449	1038
901	9459	1027
902	9475	1017
903	9489	1007
904	9501	997
905	9512	986
906	9522	976
907	9534	966
908	9546	955
909	9558	945
910	9570	934
911	9581	924
912	9592	914
913	9602	903
914	9611	892
915	9623	882
916	9635	872
917	9646	861
918	9657	851
919	9668	840
920	9680	830
921	9690	819
922	9700	809
923	9711	798
924	9721	788
925	9731	777
926	9742	767
927	9754	756
928	9764	746
929	9786	736
930	9798	726
931	9809	715
932	9818	705
933	9829	694
934	9838	683
935	9848	673
936	9857	662
937	9867	652
938	9877	641
939	9886	631
940	9895	620
941	9905	609
942	9915	599
943	9927	588
944	9937	578
945	9946	567
946	9956	557
947	9968	546
948	9979	536
949	9989	525
950	9998	515
951	10007	504
952	10017	494
953	10026	483
954	10038	473
955	10047	462
956	10058	451
957	10067	441
958	10078	430
959	10088	420
960	10097	409
961	10107	399
962	10114	388
963	10124	378
964	10135	367
965	10145	357
966	10156	346
967	10167	336
968	10177	325
969	10187	315
970	10197	304
971	10207	294
972	10216	283
973	10225	272
974	10234	262
975	10244	251
976	10253	241
977	10262	230
978	10271	220
979	10280	209
980	10289	199
981	10299	188
982	10308	178
983	10317	167
984	10325	157
985	10335	146
986	10345	136
987	10356	125
988	10367	115
989	10378	104
990	10390	94
991	10402	83
992	10412	73
993	10424	62
994	10435	52
995	10446	41
996	10459	31
997	10470	20
998	10481	10
999	10490	0
