iter	Passed	Remaining
411	4028	5749
412	4037	5738
413	4046	5727
414	4056	5718
415	4066	5709
416	4076	5698
417	4084	5687
418	4094	5677
419	4104	5668
420	4115	5659
421	4125	5649
422	4134	5640
423	4145	5631
424	4154	5620
425	4163	5610
426	4174	5601
427	4183	5590
428	4194	5582
429	4202	5570
430	4212	5561
431	4222	5551
432	4231	5541
433	4241	5531
434	4251	5522
435	4261	5512
436	4271	5503
437	4280	5491
438	4290	5482
439	4300	5472
440	4309	5463
441	4320	5454
442	4330	5445
443	4341	5437
444	4351	5427
445	4361	5417
446	4372	5409
447	4380	5397
448	4389	5386
449	4399	5377
450	4409	5367
451	4419	5357
452	4429	5348
453	4439	5339
454	4449	5329
455	4459	5319
456	4469	5310
457	4479	5301
458	4489	5291
459	4499	5282
460	4509	5272
461	4519	5263
462	4529	5253
463	4539	5244
464	4549	5234
465	4559	5224
466	4569	5214
467	4578	5204
468	4587	5193
469	4596	5183
470	4607	5175
471	4616	5164
472	4626	5154
473	4634	5142
474	4644	5133
475	4654	5124
476	4664	5114
477	4674	5104
478	4683	5093
479	4693	5084
480	4702	5074
481	4712	5064
482	4723	5055
483	4733	5046
484	4743	5037
485	4753	5026
486	4762	5016
487	4771	5006
488	4781	4996
489	4791	4987
490	4800	4976
491	4811	4967
492	4821	4958
493	4831	4948
494	4841	4939
495	4853	4931
496	4884	4943
497	4895	4934
498	4905	4924
499	4916	4916
500	4925	4906
501	4937	4897
502	4948	4889
503	4959	4880
504	4970	4871
505	4980	4862
506	4990	4853
507	5001	4843
508	5011	4834
509	5020	4823
510	5030	4813
511	5039	4803
512	5050	4794
513	5060	4785
514	5069	4773
515	5078	4763
516	5089	4754
517	5098	4744
518	5109	4735
519	5119	4725
520	5131	4717
521	5142	4708
522	5153	4700
523	5163	4690
524	5178	4685
525	5188	4675
526	5197	4664
527	5208	4655
528	5218	4646
529	5229	4637
530	5238	4626
531	5248	4617
532	5260	4608
533	5270	4599
534	5281	4590
535	5291	4581
536	5302	4571
537	5312	4562
538	5322	4552
539	5331	4541
540	5342	4532
541	5351	4522
542	5361	4512
543	5371	4502
544	5381	4493
545	5392	4483
546	5400	4472
547	5410	4462
548	5420	4453
549	5431	4443
550	5440	4433
551	5449	4423
552	5459	4413
553	5469	4403
554	5479	4393
555	5488	4383
556	5499	4373
557	5508	4363
558	5519	4354
559	5529	4344
560	5540	4335
561	5550	4326
562	5561	4316
563	5570	4306
564	5579	4296
565	5590	4286
566	5601	4277
567	5611	4267
568	5621	4258
569	5632	4248
570	5641	4238
571	5651	4228
572	5661	4219
