iter	Passed	Remaining
416	3022	4225
417	3031	4220
418	3038	4213
419	3045	4205
420	3053	4198
421	3061	4192
422	3069	4186
423	3076	4179
424	3083	4171
425	3091	4164
426	3098	4158
427	3105	4150
428	3112	4143
429	3120	4135
430	3127	4129
431	3134	4121
432	3142	4114
433	3150	4108
434	3157	4101
435	3164	4093
436	3172	4086
437	3180	4080
438	3187	4073
439	3194	4066
440	3202	4059
441	3210	4053
442	3218	4046
443	3225	4039
444	3232	4031
445	3240	4025
446	3248	4018
447	3255	4011
448	3262	4003
449	3269	3996
450	3277	3989
451	3284	3982
452	3292	3975
453	3299	3967
454	3306	3960
455	3313	3953
456	3321	3946
457	3328	3939
458	3336	3932
459	3344	3926
460	3352	3920
461	3359	3912
462	3367	3905
463	3374	3898
464	3382	3891
465	3389	3884
466	3396	3876
467	3405	3871
468	3412	3864
469	3420	3856
470	3427	3849
471	3435	3843
472	3442	3836
473	3450	3828
474	3458	3822
475	3465	3815
476	3474	3809
477	3482	3802
478	3490	3796
479	3497	3788
480	3504	3781
481	3512	3774
482	3519	3767
483	3527	3760
484	3534	3753
485	3541	3746
486	3550	3739
487	3558	3733
488	3565	3725
489	3572	3717
490	3579	3710
491	3587	3703
492	3594	3696
493	3601	3689
494	3608	3681
495	3616	3674
496	3623	3667
497	3631	3660
498	3637	3652
499	3645	3645
500	3654	3640
501	3661	3632
502	3668	3624
503	3675	3617
504	3682	3609
505	3690	3602
506	3697	3595
507	3704	3587
508	3712	3581
509	3720	3574
510	3727	3567
511	3734	3559
512	3743	3553
513	3751	3546
514	3758	3539
515	3765	3531
516	3772	3524
517	3780	3517
518	3788	3511
519	3795	3503
520	3804	3497
521	3811	3490
522	3818	3482
523	3826	3476
524	3834	3469
525	3842	3462
526	3849	3455
527	3857	3448
528	3865	3441
529	3874	3435
530	3881	3428
531	3889	3421
532	3896	3413
533	3903	3406
534	3910	3398
535	3917	3391
536	3924	3383
537	3932	3377
538	3940	3370
539	3947	3362
540	3954	3354
541	3962	3348
542	3970	3341
543	3977	3333
544	3984	3326
545	3991	3318
546	3999	3312
547	4006	3304
548	4014	3297
549	4021	3290
550	4028	3283
551	4036	3275
552	4043	3268
553	4051	3261
554	4058	3254
555	4065	3246
556	4073	3239
557	4081	3232
558	4088	3225
559	4096	3218
560	4103	3211
561	4110	3203
562	4116	3195
563	4123	3187
564	4131	3181
565	4139	3174
566	4146	3166
567	4154	3159
568	4162	3152
569	4169	3145
570	4176	3137
571	4183	3130
572	4190	3122
573	4198	3115
574	4205	3108
575	4213	3101
576	4220	3093
577	4227	3086
578	4234	3079
579	4243	3072
580	4250	3065
581	4258	3058
582	4265	3050
583	4273	3043
584	4280	3036
585	4288	3029
586	4296	3022
587	4304	3016
588	4311	3008
589	4319	3001
590	4327	2995
591	4335	2988
592	4343	2981
593	4351	2974
594	4359	2967
595	4366	2960
596	4374	2952
597	4382	2945
598	4389	2938
599	4397	2931
600	4404	2924
601	4412	2917
602	4419	2909
603	4426	2902
604	4435	2895
605	4442	2888
606	4449	2880
607	4457	2873
608	4464	2866
609	4472	2859
610	4479	2852
611	4488	2845
612	4495	2837
613	4502	2830
614	4509	2823
615	4517	2815
616	4524	2808
617	4531	2801
618	4539	2794
619	4546	2786
620	4553	2778
621	4560	2771
622	4568	2764
623	4576	2757
624	4583	2750
625	4590	2742
626	4598	2735
627	4605	2728
628	4612	2720
629	4620	2713
630	4628	2706
631	4634	2698
632	4641	2691
633	4648	2683
634	4655	2676
635	4663	2669
636	4671	2662
637	4678	2654
638	4687	2648
639	4694	2640
640	4702	2633
641	4709	2626
642	4718	2619
643	4725	2612
644	4732	2604
645	4740	2597
646	4747	2590
647	4754	2582
648	4761	2575
649	4769	2568
650	4776	2560
651	4785	2554
652	4792	2546
653	4799	2539
654	4807	2531
655	4815	2525
656	4821	2517
657	4829	2510
658	4836	2502
659	4842	2494
660	4851	2487
661	4858	2480
662	4865	2473
663	4873	2466
664	4881	2459
665	4888	2451
666	4895	2444
667	4903	2437
668	4912	2430
669	4919	2423
670	4925	2415
671	4933	2408
672	4939	2400
673	4947	2392
674	4952	2384
675	4958	2376
676	4965	2369
677	4972	2361
678	4980	2354
679	4988	2347
680	4996	2340
681	5004	2333
682	5012	2326
683	5019	2318
684	5026	2311
685	5034	2304
686	5041	2297
687	5049	2289
688	5056	2282
689	5064	2275
690	5071	2267
691	5079	2260
692	5085	2253
693	5093	2245
694	5101	2238
695	5108	2231
696	5116	2224
697	5124	2217
698	5132	2209
699	5139	2202
700	5146	2195
701	5154	2188
702	5161	2180
703	5169	2173
704	5176	2166
705	5184	2158
706	5191	2151
707	5197	2143
708	5205	2136
709	5213	2129
710	5220	2122
711	5228	2114
712	5235	2107
713	5242	2100
714	5249	2092
715	5257	2085
716	5264	2078
717	5272	2070
718	5280	2063
719	5287	2056
720	5295	2049
721	5302	2041
722	5310	2034
723	5318	2027
724	5325	2020
725	5332	2012
726	5340	2005
727	5347	1997
728	5354	1990
729	5361	1983
730	5369	1975
731	5376	1968
732	5384	1961
733	5392	1954
734	5400	1947
735	5408	1939
736	5415	1932
737	5423	1925
738	5430	1917
739	5437	1910
740	5445	1903
741	5453	1896
742	5461	1888
743	5467	1881
744	5474	1873
745	5482	1866
746	5489	1859
747	5497	1851
748	5503	1844
749	5511	1837
750	5518	1829
751	5526	1822
752	5533	1815
753	5541	1807
754	5549	1800
755	5556	1793
756	5565	1786
757	5572	1779
758	5580	1772
759	5588	1764
760	5595	1757
761	5603	1750
762	5611	1742
763	5618	1735
764	5625	1728
765	5633	1720
766	5641	1713
767	5648	1706
768	5656	1699
769	5663	1691
770	5670	1684
771	5678	1677
772	5686	1669
773	5693	1662
774	5700	1655
775	5708	1647
776	5716	1640
777	5724	1633
778	5731	1626
779	5738	1618
780	5746	1611
781	5754	1604
782	5761	1596
783	5769	1589
784	5777	1582
785	5783	1574
786	5791	1567
787	5799	1560
788	5807	1552
789	5815	1545
790	5823	1538
791	5829	1531
792	5837	1523
793	5844	1516
794	5853	1509
795	5860	1501
796	5867	1494
797	5874	1487
798	5882	1479
799	5889	1472
800	5897	1465
801	5905	1457
802	5912	1450
803	5919	1443
804	5927	1435
805	5934	1428
806	5942	1421
807	5950	1413
808	5957	1406
809	5964	1399
810	5971	1391
811	5978	1384
812	5985	1376
813	5993	1369
814	6001	1362
815	6010	1355
816	6017	1347
817	6025	1340
818	6032	1333
819	6041	1326
820	6048	1318
821	6055	1311
822	6063	1304
823	6071	1296
824	6077	1289
825	6085	1281
826	6092	1274
827	6100	1267
828	6107	1259
829	6115	1252
830	6122	1245
831	6130	1237
832	6137	1230
833	6145	1223
834	6151	1215
835	6160	1208
836	6167	1201
837	6175	1193
838	6183	1186
839	6190	1179
840	6198	1171
841	6208	1164
842	6217	1157
843	6229	1151
844	6237	1144
845	6248	1137
846	6258	1130
847	6266	1123
848	6273	1115
849	6281	1108
850	6289	1101
851	6297	1093
852	6305	1086
853	6313	1079
854	6320	1071
855	6327	1064
856	6334	1056
857	6342	1049
858	6350	1042
859	6358	1035
860	6366	1027
861	6374	1020
862	6382	1013
863	6390	1005
864	6397	998
865	6405	991
866	6412	983
867	6419	976
868	6427	968
869	6435	961
870	6443	954
871	6450	946
872	6458	939
873	6465	932
874	6472	924
875	6479	917
876	6487	909
877	6495	902
878	6502	895
879	6509	887
880	6517	880
881	6525	872
882	6533	865
883	6540	858
884	6547	850
885	6555	843
886	6563	836
887	6570	828
888	6578	821
889	6586	814
890	6593	806
891	6601	799
892	6609	791
893	6617	784
894	6626	777
895	6633	769
896	6640	762
897	6648	755
898	6655	747
899	6663	740
900	6669	732
901	6677	725
902	6685	718
903	6693	710
904	6700	703
905	6707	695
906	6716	688
907	6723	681
908	6732	673
909	6739	666
910	6747	659
911	6755	651
912	6763	644
913	6771	637
914	6778	629
915	6785	622
916	6793	614
917	6800	607
918	6808	600
919	6816	592
920	6823	585
921	6832	578
922	6840	570
923	6848	563
924	6855	555
925	6862	548
926	6869	540
927	6877	533
928	6885	526
929	6893	518
930	6901	511
931	6908	504
932	6916	496
933	6923	489
934	6931	481
935	6939	474
936	6945	467
937	6953	459
938	6960	452
939	6968	444
940	6975	437
941	6982	429
942	6990	422
943	6997	415
944	7005	407
945	7012	400
946	7019	392
947	7027	385
948	7034	378
949	7042	370
950	7050	363
951	7057	355
952	7065	348
953	7071	340
954	7078	333
955	7086	326
